iter	Passed	Remaining
0	132	132650
1	133	66641
2	134	44572
3	136	33916
4	136	27225
5	137	22758
6	138	19582
7	138	17187
8	139	15340
9	139	13846
10	140	12622
11	140	11605
12	141	10763
13	142	10040
14	143	9401
15	143	8838
16	144	8345
17	144	7904
18	145	7510
19	146	7155
20	146	6833
21	147	6548
22	148	6287
23	148	6046
24	149	5821
25	149	5613
26	150	5419
27	150	5241
28	151	5076
29	152	4920
30	152	4774
31	153	4642
32	154	4518
33	154	4396
34	155	4281
35	155	4174
36	156	4072
37	157	3978
38	157	3886
39	158	3799
40	158	3716
41	159	3643
42	160	3571
43	161	3499
44	161	3429
45	162	3364
46	162	3300
47	163	3238
48	163	3180
49	164	3125
50	165	3074
51	167	3062
52	168	3013
53	169	2966
54	169	2919
55	170	2874
56	171	2831
57	171	2788
58	172	2752
59	173	2716
60	174	2681
61	174	2646
62	175	2610
63	176	2574
64	176	2540
65	177	2507
66	177	2475
67	178	2440
68	178	2414
69	179	2386
70	180	2358
71	180	2329
72	181	2302
73	181	2275
74	182	2249
75	183	2227
76	183	2203
77	184	2178
78	185	2158
79	185	2135
80	186	2113
81	186	2093
82	187	2073
83	188	2053
84	188	2031
85	189	2011
86	189	1990
87	190	1971
88	190	1952
89	191	1937
90	192	1920
91	192	1903
92	193	1886
93	193	1869
94	194	1853
95	195	1837
96	195	1821
97	196	1807
98	196	1792
99	199	1792
100	199	1777
101	199	1760
102	200	1746
103	201	1733
104	201	1721
105	202	1707
106	203	1695
107	204	1685
108	204	1673
109	205	1662
110	205	1649
111	206	1637
112	207	1625
113	207	1613
114	208	1601
115	208	1589
116	209	1578
117	210	1571
118	210	1560
119	211	1549
120	211	1539
121	212	1529
122	212	1517
123	213	1507
124	213	1497
125	214	1487
126	215	1478
127	215	1467
128	216	1459
129	216	1450
130	217	1442
131	217	1433
132	218	1424
133	219	1416
134	219	1407
135	220	1399
136	220	1390
137	221	1381
138	221	1374
139	222	1368
140	223	1361
141	223	1353
142	224	1345
143	225	1337
144	225	1330
145	226	1323
146	226	1315
147	227	1308
148	227	1301
149	229	1301
150	230	1294
151	230	1288
152	231	1281
153	232	1274
154	232	1267
155	233	1260
156	233	1254
157	234	1247
158	234	1240
159	235	1236
160	236	1230
161	236	1224
162	237	1218
163	237	1213
164	238	1206
165	239	1200
166	239	1194
167	240	1188
168	240	1182
169	241	1177
170	241	1172
171	242	1166
172	242	1160
173	243	1155
174	243	1149
175	244	1144
176	244	1138
177	245	1133
178	246	1129
179	246	1123
180	246	1117
181	247	1114
182	248	1109
183	249	1104
184	249	1099
185	250	1094
186	250	1089
187	251	1084
188	251	1079
189	252	1074
190	252	1069
191	253	1065
192	255	1067
193	255	1063
194	256	1058
195	257	1054
196	257	1049
197	258	1045
198	258	1040
199	259	1036
200	259	1031
201	260	1028
202	260	1024
203	261	1020
204	262	1016
205	262	1012
206	263	1008
207	263	1004
208	264	1000
209	264	996
210	265	992
211	265	988
212	266	985
213	267	981
214	267	977
215	268	974
216	268	970
217	269	966
218	269	962
219	270	959
220	271	955
221	271	951
222	272	947
223	272	944
224	273	942
225	274	939
226	274	936
227	275	932
228	275	929
229	276	925
230	277	922
231	277	918
232	278	915
233	278	912
234	279	909
235	279	906
236	280	902
237	280	899
238	281	896
239	282	893
240	282	889
241	283	886
242	283	883
243	284	880
244	284	877
245	289	886
246	289	883
247	290	880
248	290	877
249	291	874
250	292	872
251	293	869
252	293	866
253	294	863
254	294	860
255	295	857
256	295	854
257	296	851
258	296	848
259	297	845
260	297	842
261	298	840
262	298	837
263	299	834
264	299	831
265	300	829
266	301	826
267	301	823
268	302	821
269	302	818
270	303	816
271	304	814
272	304	811
273	305	809
274	305	806
275	306	803
276	306	801
277	307	798
278	307	795
279	308	793
280	308	790
281	309	788
282	310	786
283	311	784
284	311	781
285	312	779
286	312	776
287	313	774
288	313	771
289	314	769
290	314	766
291	315	764
292	315	762
293	316	759
294	318	761
295	319	759
296	319	756
297	320	754
298	320	752
299	321	749
300	321	747
301	322	745
302	322	742
303	323	740
304	324	739
305	324	737
306	325	734
307	326	732
308	326	730
309	327	728
310	327	726
311	328	724
312	329	722
313	330	721
314	330	719
315	331	716
316	331	714
317	332	712
318	332	710
319	333	708
320	333	706
321	334	704
322	334	701
323	335	700
324	336	698
325	336	696
326	337	694
327	337	692
328	338	690
329	339	688
330	339	686
331	340	684
332	340	682
333	341	680
334	341	678
335	342	676
336	342	674
337	343	672
338	344	670
339	344	668
340	345	666
341	345	665
342	346	663
343	346	661
344	347	659
345	348	658
346	348	656
347	349	654
348	349	652
349	350	650
350	350	648
351	351	647
352	352	645
353	352	643
354	353	641
355	353	639
356	354	637
357	354	636
358	355	635
359	356	633
360	356	631
361	357	629
362	357	627
363	358	626
364	358	624
365	359	622
366	360	620
367	360	619
368	361	618
369	362	616
370	363	615
371	363	613
372	364	612
373	364	610
374	365	609
375	365	607
376	366	605
377	367	604
378	368	602
379	368	601
380	369	599
381	369	597
382	370	596
383	370	594
384	371	592
385	371	591
386	372	589
387	372	588
388	373	587
389	374	585
390	374	583
391	375	582
392	375	580
393	376	578
394	376	577
395	377	575
396	377	574
397	378	572
398	378	570
399	380	571
400	381	569
401	382	568
402	382	566
403	383	565
404	383	563
405	384	562
406	384	560
407	385	559
408	386	558
409	386	556
410	387	555
411	387	553
412	388	552
413	389	550
414	389	549
415	390	547
416	390	546
417	391	544
418	391	543
419	392	542
420	393	540
421	393	539
422	394	537
423	394	536
424	395	534
425	395	533
426	396	532
427	396	530
428	397	529
429	397	527
430	398	526
431	399	525
432	400	523
433	400	522
434	401	521
435	401	519
436	402	518
437	402	516
438	403	515
439	403	513
440	405	514
441	406	513
442	407	511
443	407	510
444	408	509
445	408	507
446	409	506
447	409	504
448	410	503
449	411	502
450	411	501
451	412	500
452	413	498
453	413	497
454	414	496
455	414	494
456	415	493
457	415	491
458	416	490
459	416	489
460	417	488
461	418	487
462	418	485
463	419	484
464	419	483
465	420	481
466	420	480
467	421	479
468	422	477
469	422	476
470	423	475
471	423	474
472	424	472
473	425	471
474	425	470
475	426	469
476	426	467
477	427	466
478	427	465
479	428	463
480	428	462
481	429	461
482	430	460
483	430	459
484	431	457
485	431	456
486	432	455
487	432	454
488	433	452
489	433	451
490	434	450
491	434	448
492	435	447
493	437	448
494	438	446
495	438	445
496	439	444
497	439	443
498	440	441
499	440	440
500	441	439
501	441	438
502	442	437
503	443	436
504	443	435
505	444	434
506	445	433
507	445	431
508	446	430
509	447	429
510	447	428
511	448	427
512	449	426
513	449	425
514	450	423
515	451	423
516	451	421
517	452	420
518	452	419
519	453	418
520	453	417
521	454	416
522	455	415
523	456	414
524	456	413
525	457	412
526	457	410
527	458	409
528	458	408
529	459	407
530	460	406
531	460	405
532	461	404
533	462	403
534	462	402
535	463	400
536	463	399
537	464	398
538	464	397
539	465	396
540	465	395
541	466	394
542	466	392
543	467	391
544	468	390
545	468	389
546	469	388
547	469	387
548	470	386
549	470	385
550	471	384
551	471	383
552	472	382
553	473	381
554	474	380
555	474	379
556	475	378
557	475	377
558	476	375
559	476	374
560	477	373
561	477	372
562	478	371
563	479	370
564	479	369
565	480	368
566	480	367
567	481	366
568	482	365
569	482	364
570	483	363
571	483	361
572	484	360
573	484	359
574	485	358
575	485	357
576	487	357
577	487	355
578	488	354
579	488	353
580	489	352
581	489	351
582	490	350
583	491	349
584	491	348
585	492	348
586	493	347
587	493	346
588	494	344
589	494	343
590	495	342
591	495	341
592	496	340
593	496	339
594	497	338
595	498	337
596	498	336
597	500	336
598	501	335
599	501	334
600	502	333
601	502	332
602	503	331
603	503	330
604	504	329
605	505	328
606	506	327
607	506	326
608	507	325
609	507	324
610	508	323
611	509	322
612	509	321
613	510	320
614	510	319
615	511	319
616	512	318
617	513	317
618	513	316
619	514	315
620	514	314
621	515	313
622	516	312
623	516	311
624	517	310
625	518	309
626	518	308
627	519	307
628	519	306
629	520	305
630	520	304
631	521	303
632	521	302
633	522	301
634	522	300
635	523	299
636	523	298
637	524	297
638	525	296
639	525	295
640	526	294
641	526	293
642	527	292
643	527	291
644	528	290
645	528	289
646	529	288
647	530	287
648	533	288
649	533	287
650	534	286
651	534	285
652	535	284
653	535	283
654	536	282
655	537	281
656	537	280
657	538	279
658	539	278
659	539	277
660	540	276
661	540	275
662	541	275
663	541	274
664	542	273
665	542	272
666	543	271
667	544	270
668	545	269
669	545	268
670	546	267
671	547	267
672	547	266
673	548	265
674	548	264
675	549	263
676	550	262
677	550	261
678	551	260
679	551	259
680	552	258
681	553	257
682	553	256
683	554	256
684	554	255
685	555	254
686	557	253
687	558	253
688	558	252
689	559	251
690	559	250
691	560	249
692	560	248
693	561	247
694	561	246
695	562	245
696	563	245
697	564	244
698	564	243
699	565	242
700	565	241
701	566	240
702	567	239
703	567	238
704	568	237
705	568	236
706	569	235
707	569	234
708	570	234
709	571	233
710	571	232
711	572	231
712	573	230
713	573	229
714	575	229
715	575	228
716	576	227
717	576	226
718	577	225
719	578	224
720	578	224
721	581	223
722	582	223
723	583	222
724	584	221
725	585	221
726	587	220
727	588	219
728	589	219
729	590	218
730	591	217
731	592	216
732	595	216
733	597	216
734	598	215
735	600	215
736	601	214
737	601	213
738	602	212
739	603	211
740	603	211
741	604	210
742	605	209
743	606	208
744	607	207
745	608	207
746	609	206
747	611	205
748	612	205
749	613	204
750	614	203
751	615	202
752	615	202
753	616	201
754	617	200
755	620	200
756	621	199
757	629	200
758	630	200
759	631	199
760	632	198
761	634	198
762	635	197
763	636	196
764	636	195
765	638	194
766	638	194
767	639	193
768	640	192
769	640	191
770	641	190
771	642	189
772	642	188
773	644	188
774	645	187
775	646	186
776	647	185
777	648	184
778	648	184
779	651	183
780	652	182
781	652	182
782	653	181
783	654	180
784	655	179
785	655	178
786	657	177
787	658	177
788	659	176
789	659	175
790	660	174
791	661	173
792	661	172
793	662	171
794	663	171
795	663	170
796	664	169
797	665	168
798	665	167
799	666	166
800	667	165
801	668	164
802	669	164
803	669	163
804	670	162
805	671	161
806	672	160
807	672	159
808	673	158
809	674	158
810	675	157
811	676	156
812	677	155
813	678	155
814	679	154
815	680	153
816	680	152
817	681	151
818	684	151
819	684	150
820	685	149
821	685	148
822	686	147
823	687	146
824	687	145
825	688	145
826	689	144
827	690	143
828	691	142
829	691	141
830	692	140
831	692	139
832	693	139
833	694	138
834	695	137
835	695	136
836	696	135
837	697	134
838	697	133
839	698	132
840	698	132
841	699	131
842	701	130
843	702	129
844	702	128
845	703	128
846	704	127
847	705	126
848	706	125
849	708	124
850	709	124
851	709	123
852	710	122
853	710	121
854	711	120
855	712	119
856	712	118
857	713	118
858	714	117
859	715	116
860	715	115
861	716	114
862	716	113
863	717	112
864	718	112
865	719	111
866	720	110
867	721	109
868	721	108
869	722	107
870	722	107
871	723	106
872	723	105
873	724	104
874	725	103
875	726	102
876	726	101
877	727	101
878	728	100
879	728	99
880	729	98
881	729	97
882	730	96
883	733	96
884	734	95
885	735	94
886	736	93
887	736	92
888	737	92
889	740	91
890	740	90
891	741	89
892	741	88
893	742	88
894	743	87
895	743	86
896	744	85
897	745	84
898	746	83
899	746	82
900	747	82
901	747	81
902	748	80
903	748	79
904	749	78
905	749	77
906	750	76
907	751	76
908	751	75
909	752	74
910	752	73
911	753	72
912	753	71
913	754	70
914	754	70
915	755	69
916	755	68
917	756	67
918	757	66
